6677;dibujo;es un dibujo hecho a mano;13000;1;Valeria;999
7041;zapato;es un zapato normal;34000;34;karen;444
3412;Cadena de oro;es una cadena de hace unos 100 años;35000000;2;Valeria;999
1534;figuritas;las figuiritas del mundial;555;100;Luu;1010
3224;Celular;es un lg algo viejo;1;1500000;Juan;222
3522;Stiker;Stiker de polar;120;230;Luu;1010
3914;App de logo;crea tu propio logo;15000;100;Luu;1010
3244;Poly Station;consola para jugar videojuego;43000;37;Juan;222
2346;Televisor;Macara LG;5400000;150;karen;444
5742;Mesa;Mesa de madera perfecta para trabaja;750000;34;Angie;555
3678;Chancletas;De materiales biodegradables ;15000;159;Daniel;888
4578;Microondas;De color blanco de 50x30cm;230000;783;Valeria;999
8255;Ventana;vidrio color azul celeste;100000;384;karen;444
3656;Boligrafo;De color azul permanente;1400;1594;Maria;333
8346;Audifonos;Audifono LG 4h de bateria;120000;34;Angie;555
3592;Silla;Silla de plastico resistente;50000;2784;Juan;222
2052;Ventilador;Ventilador super pontete;340000;30;Daniel;888
4295;Zapato;Es de cuero con acabado de piel;189000;124;Angie;555
2401;Toma Corriente;Toma corriente tipo EUROPA;12500;3000;Maria;333
1957;Foco;Foco de 2000Lumenes;2500;53999;Daniel;888
4295;Lapto;Lapto de segunda mano perfecta;1350000;1;karen;444
1283;Macbook air;Fabricada por apple en california;6500000;5000;Gian;777
1259;Plan unico de cuentas;Libro de contabilidad;35000;340;Angie;555
1973;Libro El padrino;Escrito por mario puzo 500 hojas;450000;1304;karen;444
1937;Reloj inteligente;Marca LG 10H de autonomia;567000;1722;Juan;222
